(costat) Active/Inactive Status Marker,(curcd) ISO Currency Code,(datafmt) Data Format,(indfmt) Industry Format,(consol) Level of Consolidation - Company Annual Descriptor,(tic) Ticker Symbol,(datadate) Data Date,(gvkey) Global Company Key,(conm) Company Name,(sic) Standard Industry Classification Code,(fyear) Data Year - Fiscal,(at) Assets - Total,(ceq) Common/Ordinary Equity - Total,(dlc) Debt in Current Liabilities - Total,(dltt) Long-Term Debt - Total,(lt) Liabilities - Total,(re) Retained Earnings,(cogs) Cost of Goods Sold,(ebit) Earnings Before Interest and Taxes,(revt) Revenue - Total,(xint) Interest and Related Expense - Total,(oancf) Operating Activities - Net Cash Flow,(csho) Common Shares Outstanding,(prcc_f) Price Close - Annual - Fiscal,(addzip) Postal Code
A,USD,STD,INDL,C,CHTR,31/12/20,126136,CHARTER COMMUNICATIONS INC,4841,2020,144206,23805,1243,82854,113925,-5195,30093,8620,48417,3848,14562,193.731,661.55,10036
A,USD,STD,INDL,C,CHTR,31/12/21,126136,CHARTER COMMUNICATIONS INC,4841,2021,142491,14050,3266,89746,124335,-12675,31482,10855,51682,4037,16239,172.741,651.97,10036
A,USD,STD,INDL,C,CHTR,31/12/22,126136,CHARTER COMMUNICATIONS INC,4841,2022,144523,9119,1805,97176,131974,-14821,32876,12243,54022,4556,14925,152.651,339.1,10036
A,USD,STD,INDL,C,CHTR,31/12/23,126136,CHARTER COMMUNICATIONS INC,4841,2023,147193,11086,2715,96905,132475,-12260,33405,12506,54607,5188,14433,145.225,388.68,10036
A,USD,STD,INDL,C,CHTR,31/12/24,126136,CHARTER COMMUNICATIONS INC,4841,2024,150020,15587,2835,94341,130313,-7750,33167,13245,55085,5229,14430,141.946,342.77,10036
A,USD,STD,INDL,C,CHTR,31/12/25,126136,CHARTER COMMUNICATIONS INC,4841,2025,154213,16054,1943,96620,133694,-5393,32795,13268,54774,5042,16077,126.632,208.75,10036
A,USD,STD,INDL,C,CMCSA,31/12/20,003226,COMCAST CORP,4841,2020,273869,90323,3864,109522,180851,58322,72738,17605,103564,4228,24737,4580.656,52.4,19103-2838
A,USD,STD,INDL,C,CMCSA,31/12/21,003226,COMCAST CORP,4841,2021,275905,96092,2898,104361,177896,63382,81739,20842,116385,4077,29146,4533.23,50.33,19103-2838
A,USD,STD,INDL,C,CMCSA,31/12/22,003226,COMCAST CORP,4841,2022,257275,80943,2418,104348,175237,48998,84442,23111,121427,3896,26413,4220.119,34.97,19103-2838
A,USD,STD,INDL,C,CMCSA,31/12/23,003226,COMCAST CORP,4841,2023,264811,82703,2817,100859,181344,51639,83922,23314,121572,4087,28501,3978.762,43.85,19103-2838
